UID,Nice Name
1751791,P. sp. TKO30
895791,P. sp. NFPP14
1681341,P. protegens BNJ-SS-45
2077721,P. chlororaphis 48B8
7946611,P. protegens H1F10A
1733261,P. sp. RW409
1806111,P. sp. MWU12-2534b
1082941,P. sp. R26(2017)
781861,P. sp. BIOMIG1N
5061511,P. sp. MC042
2125271,P. chlororaphis subsp. aurantiaca M71
182551,P. chlororaphis PA23
4779711,P. protegens pf5-k2
2078071,P. protegens 14B2
635421,P. sp. Os17
879391,P. sp. NFPP10
240261,P. chlororaphis subsp. aureofaciens NBRC 3521
2125541,P. chlororaphis subsp. aurantiaca 464
768001,P. protegens PA12
501768,P. chlororaphis subsp. aureofaciens 30-84
1083071,P. sp. B6(2017)
5385521,P. protegens SN15-2
877751,P. sp. NFPP18
2088021,P. protegens JUb28
4688861,P. chlororaphis JV395B
2125331,P. chlororaphis subsp. aureofaciens C50
2077771,P. protegens 38G2
248021,P. protegens Cab57
1751801,P. sp. TKO14
1226341,P. chlororaphis subsp. aurantiaca StFRB508
7067681,P. protegens WS 5415
214361,P. chlororaphis subsp. aurantiaca JD37
1541031,P. sp. FW507-12TSA
613588,P. chlororaphis subsp. chlororaphis GP72
879581,P. sp. NFACC41-3
781871,P. sp. BIOMIG1BD
1751771,P. sp. TKO26
865331,P. sp. NFPP12
880931,P. sp. NFPP07
863591,P. sp. NFPP15
2125611,P. chlororaphis subsp. aureofaciens ChPhzTR18
2077801,P. protegens Clinton
2125641,P. chlororaphis subsp. aureofaciens ChPhzTR38
895681,P. sp. NFPP09
346541,P. fluorescens AU11706
877061,P. sp. NFPP19
884321,P. sp. NFPP05
882011,P. sp. NFPP13
5554551,P. chlororaphis subsp. aurantiaca zm-1
7068231,P. gessardii G4779
2125571,P. chlororaphis subsp. aureofaciens ChPhzTR36
5470871,P. protegens APC 3760
5478531,P. sp. Fl4BN1
2077791,P. protegens 1C5
473781,P. sp. CMR5c
1528751,P. protegens 4
1620811,P. protegens FDAARGOS_307
7067541,P. sp. WS 5414
2125291,P. chlororaphis subsp. aurantiaca PCM 2210
473731,P. protegens K94.41
33368,P. protegens Pf-5
2125631,P. chlororaphis B25
617478,P. fluorescens NZI7
473741,P. protegens PGNR1
7919481,P. protegens H1F5C
7342441,P. protegens H1F10C
595111,P. sp. ABAC61
920221,P. protegens PA25
2077811,P. protegens Darke
347011,P. protegens AU20219
711711,P. chlororaphis
4254931,P. protegens 3295
1741561,P. protegens MB-090624
887731,P. protegens UCT
2077781,P. protegens 1B1
1855741,P. protegens FD6
6095431,P. sp. BIOMIG1BAC
2077751,P. protegens 15G2
473761,P. protegens BRIP
473751,P. protegens PF
2124921,P. sp. CMR12a
1081901,P. sp. NFIX51
7281741,P. protegens APC 3760
2125211,P. chlororaphis ATCC 17415
868021,P. saponiphila DSM 9751
7868941,P. sp. UME65
2125281,P. chlororaphis subsp. aurantiaca K27
2124821,P. chlororaphis subsp. piscium ATCC 17809
884831,P. sp. NFPP25
2125601,P. chlororaphis subsp. aureofaciens ChPhzTR39
781851,P. sp. BIOMIG1BDMA
2077711,P. chlororaphis 14D6
392928,P. chlororaphis O6
7343661,P. sp. H1F10D
2077881,P. protegens Wayne
473791,P. chlororaphis subsp. aureofaciens CD
1534431,P. protegens AS15
2077761,P. protegens 15H3
1541051,P. sp. GW531-T4
37721,P. sp. CF150
1751841,P. sp. TKO29
2077741,P. protegens 12H11
5478481,P. sp. Fl5BN2
687338,P. protegens CHA0
2225491,P. protegens XY2F4
1012841,P. protegens H78
921041,P. protegens PA14
7067321,P. sp. WS 5079
1760221,P. protegens
2180071,P. chlororaphis NCTC7357
2023001,P. protegens CHA0-GFP
2125351,P. chlororaphis subsp. aureofaciens ChPhzS23
2125241,P. chlororaphis subsp. aurantiaca 449
7067711,P. protegens WS 5082
1741471,P. protegens MB-090714
7277611,P. protegens UMG3145
5454921,P. sp. LD120
5435471,P. chlororaphis R47
921021,P. protegens PA19
1633301,P. sp. NFPP22
2125251,P. chlororaphis subsp. aurantiaca CW2
895601,P. sp. NFPP16
4779691,P. protegens pf5
1025191,P. veronii VI4T1
883961,P. sp. NFPP08
346601,P. protegens AU13852
7869111,P. sp. UMC65
1838551,P. chlororaphis HAMBI_1977
1492231,P. sp. 09C 129
2087661,P. protegens BIGb0404
3217261,P. protegens PF-1
862251,P. sp. NFPP17
7909361,P. sp. MSSRFD41
88901,P. chlororaphis YL-1
7885221,P. protegens H1F10B
767981,P. protegens PA26
4779721,P. protegens pf5-k3
4688851,P. chlororaphis JV497
1541091,P. protegens GW456-12-1-14-LB1
2381931,P. protegens CHA0
2125221,P. chlororaphis subsp. aurantiaca M12
7068701,P. chlororaphis WS 5014
635431,P. sp. St29
2124831,P. chlororaphis subsp. piscium ATCC 17411
2124911,P. sp. CMR5c
299741,P. sp. MRSN12121
921051,P. protegens PA11
149191,P. sp. PH1b
1528761,P. protegens 11
2125341,P. chlororaphis subsp. aureofaciens 66
